20                                      Ekin                  Epot 0                  Epot 1                  Etot 0                  Etot 1                   Pop 0                   Pop 1
94                        0.0721482966973150   -302.8366608490644580   -302.7132031999891524   -302.8366608490644580   -302.7132031999891524      0.0000119819001160      0.9999880181000740
95                        0.0720679448737586   -302.8363092966239378   -302.7131829963573182   -302.8363092966239378   -302.7131829963573182      0.0000137104552383      0.9999862895448021
96                        0.0722918695188919   -302.8359523064236214   -302.7131760575971384   -302.8359523064236214   -302.7131760575971384      0.0000143741077641      0.9999856258921596
97                        0.0728898380387815   -302.8356126114115909   -302.7131873559681026   -302.8356126114115909   -302.7131873559681026      0.0000133071290157      0.9999866928706537
98                        0.0737006921827988   -302.8353111960126398   -302.7131970892836534   -302.8353111960126398   -302.7131970892836534      0.0000109267238660      0.9999890732762418
99                        0.0745167289861209   -302.8349808286392317   -302.7132076546897110   -302.8349808286392317   -302.7132076546897110      0.0000088454032461      0.9999911545968390
100                       0.0751577027739417   -302.8345607761598330   -302.7132162876998791   -302.8345607761598330   -302.7132162876998791      0.0000078926620298      0.9999921073381628
101                       0.0754838328843477   -302.8340749840373860   -302.7132200645322655   -302.8340749840373860   -302.7132200645322655      0.0000074573623065      0.9999925426376369
102                       0.0754406628398169   -302.8335793727721352   -302.7132227006781591   -302.8335793727721352   -302.7132227006781591      0.0000076873124003      0.9999923126874608
103                       0.0750432810566080   -302.8331558868832190   -302.7132165108694153   -302.8331558868832190   -302.7132165108694153      0.0000086961911512      0.9999913038087304
104                       0.0744550972040355   -302.8328303827382229   -302.7131956388486742   -302.8328303827382229   -302.7131956388486742      0.0000105665809231      0.9999894334190658
105                       0.0739866697126015   -302.8325135163115078   -302.7131847464135035   -302.8325135163115078   -302.7131847464135035      0.0000134562281050      0.9999865437719300
106                       0.0738796455738711   -302.8321555734839876   -302.7131828466795014   -302.8321555734839876   -302.7131828466795014      0.0000174890415240      0.9999825109587069
107                       0.0742219620916335   -302.8317718626892656   -302.7131849391136029   -302.8317718626892656   -302.7131849391136029      0.0000221164986575      0.9999778835008523
108                       0.0749811501742120   -302.8313692330987124   -302.7131928371621257   -302.8313692330987124   -302.7131928371621257      0.0000245926279148      0.9999754073712004
109                       0.0760213950932780   -302.8309539607746501   -302.7132047272066302   -302.8309539607746501   -302.7132047272066302      0.0000237341087133      0.9999762658914021
110                       0.0771056756224856   -302.8305055195706927   -302.7132233274695636   -302.8305055195706927   -302.7132233274695636      0.0000240502370160      0.9999759497629535
111                       0.0779530453408802   -302.8300486934472247   -302.7132349832058367   -302.8300486934472247   -302.7132349832058367      0.0000316176136399      0.9999683823856542
112                       0.0783677338561935   -302.8296171719969720   -302.7132354899748634   -302.8296171719969720   -302.7132354899748634      0.0000499249642845      0.9999500750358867
113                       0.0782934035481360   -302.8292069171694720   -302.7132358796320659   -302.8292069171694720   -302.7132358796320659      0.0000799601058288      0.9999200398957937
114                       0.0777579624682293   -302.8288066604659434   -302.7132234196141098   -302.8288066604659434   -302.7132234196141098      0.0001193536247527      0.9998806463711638
115                       0.0769681705854173   -302.8283554494164491   -302.7131945844171810   -302.8283554494164491   -302.7131945844171810      0.0001628761873912      0.9998371238176085
116                       0.0763422608445154   -302.8278524178214752   -302.7131688785756296   -302.8278524178214752   -302.7131688785756296      0.0002001891906882      0.9997998108047952
117                       0.0762857120031330   -302.8274117950616642   -302.7131517094067021   -302.8274117950616642   -302.7131517094067021      0.0002221398649507      0.9997778601264096
118                       0.0770377952280243   -302.8270905927569174   -302.7131607111073208   -302.8270905927569174   -302.7131607111073208      0.0002299190307934      0.9997700809729769
119                       0.0784238630001254   -302.8268758727696763   -302.7131935667222251   -302.8268758727696763   -302.7131935667222251      0.0002233083364076      0.9997766916639983
120                       0.0799496960560623   -302.8267364600650922   -302.7132150963965955   -302.8267364600650922   -302.7132150963965955      0.0002001077882988      0.9997998922058399
121                       0.0812576612872954   -302.8265693087333261   -302.7132189157575226   -302.8265693087333261   -302.7132189157575226      0.0001715407516646      0.9998284592500449
122                       0.0822456223502338   -302.8263087904467170   -302.7132102281148036   -302.8263087904467170   -302.7132102281148036      0.0001512374758894      0.9998487625225743
